HepatitisCvirussubtype1bEU239714	s0000
hepatitisCvirusgenotype1aEU256018	s0001
HepatitisCvirussubtype1bEU155219	s0002
hepatitisCvirusgenotype1aEU256013	s0003
hepatitisCvirusgenotype1aEU781785	s0004
HepacivirushominisAB435162	s0005
hepatitisCvirusgenotype1aEU256058	s0006
HepatitisCvirussubtype1bEU155259	s0007
HepacivirushominisOR345997	s0008
HepatitisCvirussubtype1bFJ390397	s0009
hepatitisCvirusgenotype1aEU155275	s0010
HepatitisCvirussubtype1bEU155359	s0011
hepatitisCvirusgenotype1aEU482842	s0012
hepatitisCvirusgenotype1aEU256053	s0013
hepatitisCvirusgenotype1aEU482882	s0014
hepatitisCvirusgenotype1aEU781816	s0015
hepatitisCvirusgenotype1aEU255976	s0016
hepatitisCvirusgenotype1aEU482889	s0017
hepatitisCvirusgenotype1aEU255936	s0018
HepatitisCvirussubtype6aDQ480514	s0019
hepatitisCvirusgenotype1aEU255954	s0020
hepatitisCvirusgenotype1aEU155297	s0021
hepatitisCvirusgenotype1aEU255994	s0022
hepatitisCvirusgenotype1aEU256071	s0023
hepatitisCvirusgenotype1aEU256031	s0024
HepatitisCvirussubtype1bEU155230	s0025
hepatitisCvirusgenotype1aEU781767	s0026
HepatitisCvirussubtype1bFJ024277	s0027
hepatitisCvirusgenotype1aFJ390399	s0028
HepatitisCvirussubtype1bEU155370	s0029
HepacivirushominisMK139020	s0030
HepatitisCvirussubtype1bEU155330	s0031
HepacivirushominisOM513952	s0032
hepatitisCvirusgenotype1aEU569723	s0033
HepacivirushominisOM513946	s0034
HepatitisCvirussubtype1bEU155324	s0035
hepatitisCvirusgenotype1aEU482834	s0036
HepatitisCvirussubtype1bEU256102	s0037
HepatitisCvirussubtype1bEU155364	s0038
hepatitisCvirusgenotype1aFJ182000	s0039
hepatitisCvirusgenotype1aEU155348	s0040
hepatitisCvirusgenotype1aEU155343	s0041
hepatitisCvirusgenotype1aEU781773	s0042
HepatitisCvirussubtype1bAJ238800	s0043
hepatitisCvirusgenotype1aEU781778	s0044
HepatitisCvirussubtype1bEU155224	s0045
hepatitisCvirusgenotype1aEU256025	s0046
hepatitisCvirusgenotype1aEU155243	s0047
hepatitisCvirusgenotype1aEU255980	s0048
HepatitisCvirussubtype1bEU155264	s0049
hepatitisCvirusgenotype1aEU155248	s0050
hepatitisCvirusgenotype1aEU781820	s0051
hepatitisCvirusgenotype1aEU155288	s0052
HepatitisCvirussubtype1bEU256089	s0053
HepatitisCvirussubtype1bEU256082	s0054
hepatitisCvirusgenotype1aEU155283	s0055
hepatitisCvirusgenotype1aEU255940	s0056
hepatitisCvirusgenotype1aEU255929	s0057
HepatitisCvirussubtype6aDQ480522	s0058
hepatitisCvirusgenotype1aEU255969	s0059
hepatitisCvirusgenotype1aEU256087	s0060
hepatitisCvirusgenotype1aEU781802	s0061
HepatitisCvirussubtype1bEU781825	s0062
